Date,SPY,QQQ,IWM,VEA,VWO,BND,TLT,IEF,TIP,LQD,EMB,GLD,GSG,VNQ
2007-12-19,106.90744018554688,43.49374008178711,60.57809066772461,29.319515228271484,33.170654296875,47.936153411865234,59.44675064086914,61.09682083129883,67.58631896972656,57.90037155151367,47.50530242919922,79.23999786376953,50.880001068115234,31.86292266845703
2007-12-20,107.5816879272461,44.38313674926758,61.4903450012207,29.417692184448242,33.28300476074219,47.9423828125,59.319297790527344,60.998573303222656,67.50968170166016,57.61992645263672,47.52407455444336,78.66999816894531,51.130001068115234,31.7301082611084
2007-12-21,109.13252258300781,45.25864028930664,62.89877700805664,29.9024658203125,34.16563034057617,47.624881744384766,58.45213317871094,60.55663299560547,67.10107421875,57.55936813354492,47.472434997558594,80.0999984741211,51.75,32.3526725769043
2007-12-24,109.94288635253906,45.59904861450195,63.35487365722656,30.074949264526367,34.809486389160156,47.65047073364258,58.17787551879883,60.38126754760742,66.89675903320312,57.267948150634766,47.55693054199219,80.13999938964844,52.20000076293945,33.400657653808594
2007-12-26,110.17862701416016,45.826011657714844,63.650978088378906,30.244300842285156,35.06454849243164,47.50680923461914,57.66778564453125,60.093631744384766,66.60311889648438,57.284454345703125,47.59450149536133,81.5199966430664,53.27000045776367,32.84553146362305
2007-12-27,108.79356384277344,45.27610397338867,62.139068603515625,29.968320846557617,34.33861541748047,47.6942024230957,58.29643630981445,60.497032165527344,67.0465316772461,57.624176025390625,47.55731964111328,81.55999755859375,53.130001068115234,32.19184112548828
2007-12-28,108.5210189819336,45.23244094848633,61.47264099121094,30.2882022857666,34.472679138183594,47.93162155151367,59.20554733276367,60.98286437988281,67.45081329345703,57.80649948120117,47.57614517211914,83.0,52.810001373291016,31.6263427734375
2007-12-31,107.718017578125,44.7087287902832,60.94268798828125,30.056127548217773,34.1064338684082,48.34397888183594,59.564064025878906,61.26457595825195,67.89364624023438,57.916961669921875,47.641963958740234,82.45999908447266,52.7400016784668,31.885759353637695
2008-01-02,106.77491760253906,44.00170135498047,60.348487854003906,29.987144470214844,34.008331298828125,48.331451416015625,60.421905517578125,61.701053619384766,68.43262481689453,58.60197067260742,47.70775604248047,84.86000061035156,54.65999984741211,31.787181854248047
2008-01-03,106.7233657836914,44.18500518798828,59.682071685791016,30.037321090698242,34.33534240722656,48.39393615722656,60.33869171142578,61.82786178588867,68.66363525390625,58.4085807800293,47.7923698425293,85.56999969482422,54.65999984741211,30.796260833740234
2008-01-04,104.10796356201172,42.24721908569336,57.883514404296875,29.378742218017578,33.200645446777344,48.45016860961914,60.3515510559082,61.98979568481445,68.6444091796875,58.889251708984375,47.815887451171875,85.12999725341797,54.29999923706055,29.54593849182129
2008-01-07,104.01957702636719,42.04644775390625,58.01198196411133,29.41637420654297,33.46223831176758,48.46269607543945,60.61398696899414,62.1024169921875,68.63155364990234,58.817413330078125,47.92399978637695,84.7699966430664,52.68000030517578,29.820899963378906
2008-01-08,102.33984375,40.95534133911133,56.22145080566406,29.178037643432617,33.43608474731445,48.51264572143555,60.54356002807617,62.23622131347656,68.68290710449219,58.706947326660156,48.041500091552734,86.77999877929688,53.70000076293945,28.788480758666992
2008-01-09,103.4154052734375,41.82823944091797,56.79152297973633,29.366195678710938,34.24704360961914,48.4564094543457,60.65882110595703,62.137630462646484,68.63155364990234,58.58538818359375,48.00392532348633,86.55000305175781,53.5,29.29690933227539
2008-01-10,104.0932388305664,41.889339447021484,57.57036209106445,29.3348388671875,34.564231872558594,48.43764114379883,59.839332580566406,61.968605041503906,68.32355499267578,58.41413879394531,48.04621505737305,88.25,52.7599983215332,29.748275756835938
2008-01-11,103.25332641601562,41.06882095336914,56.38199996948242,28.826793670654297,33.746726989746094,48.58761215209961,60.30670166015625,62.36295700073242,68.83049774169922,58.839500427246094,47.872310638427734,88.58000183105469,52.650001525878906,29.75345230102539
2008-01-14,104.08587646484375,41.78458023071289,56.84773254394531,29.290929794311523,34.109703063964844,48.65008544921875,60.53074645996094,62.391136169433594,69.11925506591797,58.5964241027832,48.03679656982422,89.54000091552734,53.36000061035156,29.628952026367188
2008-01-15,101.79461669921875,40.63239669799805,55.80390548706055,28.368919372558594,32.6708984375,48.82503890991211,61.20937728881836,62.79950714111328,69.47223663330078,58.911319732666016,48.11671829223633,87.98999786376953,52.38999938964844,29.02713966369629
2008-01-16,100.91791534423828,40.195953369140625,55.8601188659668,27.785608291625977,31.415199279785156,48.7313232421875,60.76762390136719,62.67984390258789,69.06153869628906,58.82294464111328,48.182525634765625,86.69999694824219,51.349998474121094,29.359169006347656
2008-01-17,98.3025131225586,39.63731002807617,54.50315856933594,27.31520652770996,30.51594352722168,48.93124008178711,61.55512237548828,63.18680191040039,69.5621109008789,59.099159240722656,48.140235900878906,86.5,51.099998474121094,28.959686279296875
2008-01-18,97.29315185546875,39.58493423461914,53.97323226928711,27.415555953979492,31.183025360107422,48.9062385559082,61.13255310058594,63.09518814086914,69.62622833251953,58.99970626831055,48.16840362548828,87.41999816894531,51.45000076293945,28.575780868530273
2008-01-22,96.3059310913086,38.563697814941406,53.58780288696289,26.637819290161133,30.228178024291992,49.21238327026367,61.785560607910156,63.79936218261719,70.15243530273438,59.12678146362305,47.93808364868164,88.16999816894531,50.470001220703125,29.260604858398438
2008-01-23,98.61930084228516,38.415283203125,55.41850662231445,26.581356048583984,30.555179595947266,49.131160736083984,61.64472198486328,63.50364303588867,69.9855728149414,59.20411682128906,47.947471618652344,87.88999938964844,49.86000061035156,32.03620529174805
